New Code	Owned: Owned outright	Owned: Owned with a mortgage or loan (inc shared)	Social rented	Private rented	Other	Year
E05000026	627	1297	1495	553	118	2001
E05000027	689	1398	1572	117	53	2001
E05000028	670	1801	1381	319	127	2001
E05000029	1091	1305	1319	173	102	2001
E05000030	1076	1830	851	164	69	2001
E05000031	686	1562	1754	186	67	2001
E05000032	418	803	2537	217	82	2001
E05000033	557	1584	1701	163	60	2001
E05000034	751	1193	2025	115	76	2001
E05000035	1240	1555	473	145	61	2001
E05000036	615	1351	1695	135	55	2001
E05000037	651	1417	1492	135	72	2001
E05000038	857	1771	996	249	51	2001
E05000039	445	1142	1937	138	62	2001
E05000040	626	1426	1486	106	62	2001
E05000041	818	1411	1683	238	63	2001
E05000042	1095	1870	536	341	38	2001
E05000043	1989	2586	543	401	131	2001
E05000044	825	2052	2269	580	156	2001
E05000045	1942	1803	1030	1826	250	2001
E05000046	1121	1613	2099	699	179	2001
E05000047	1517	2710	988	852	196	2001
E05000048	1905	2905	648	765	177	2001
E05000049	1496	2146	1442	1171	194	2001
E05000050	1814	2130	834	610	146	2001
E05000051	2151	1872	323	1182	251	2001
E05000052	2545	1893	353	1152	218	2001
E05000053	1765	1691	829	1277	188	2001
E05000054	1790	2640	887	494	144	2001
E05000055	1900	2128	749	1365	217	2001
E05000056	2176	2589	444	707	166	2001
E05000057	1966	2396	668	628	239	2001
E05000058	2187	2529	477	645	126	2001
E05000059	2147	1976	464	874	330	2001
E05000060	1688	2406	1649	373	153	2001
E05000061	1786	2044	501	1520	195	2001
E05000062	1609	1823	1050	1065	199	2001
E05000063	1881	2386	710	1267	161	2001
E05000064	1484	2058	420	181	68	2001
E05000065	1227	2187	706	421	88	2001
E05000066	1521	2182	168	163	50	2001
E05000067	1632	2167	77	185	35	2001
E05000068	1852	1934	187	145	38	2001
E05000069	1635	2096	191	337	73	2001
E05000070	1071	1786	1200	195	82	2001
E05000071	986	2091	992	313	77	2001
E05000072	1336	1886	875	236	85	2001
E05000073	1527	2028	330	279	88	2001
E05000074	1402	2018	554	156	69	2001
E05000075	887	2012	792	424	99	2001
E05000076	1601	2161	49	180	56	2001
E05000077	1396	1889	798	230	67	2001
E05000078	1561	1885	611	194	68	2001
E05000079	658	1835	1480	354	103	2001
E05000080	1380	2011	345	189	52	2001
E05000081	1815	1961	175	157	49	2001
E05000082	1333	2215	287	102	41	2001
E05000083	1660	1944	313	360	93	2001
E05000084	401	1888	1641	393	86	2001
E05000085	1047	1763	583	686	120	2001
E05000086	1253	1569	1217	709	178	2001
E05000087	1151	1416	1105	1013	165	2001
E05000088	1209	1615	753	550	118	2001
E05000089	1199	1675	919	971	184	2001
E05000090	1233	1775	618	667	126	2001
E05000091	588	1069	2454	684	165	2001
E05000092	862	1447	1204	795	138	2001
E05000093	1617	1680	241	424	88	2001
E05000094	678	1314	3164	1219	220	2001
E05000095	1004	1550	1259	1765	170	2001
E05000096	1284	1706	359	432	107	2001
E05000097	1499	1843	567	719	134	2001
E05000098	1163	1740	1162	986	160	2001
E05000099	1419	1768	446	535	120	2001
E05000100	503	1067	3711	389	196	2001
E05000101	1202	1806	774	812	151	2001
E05000102	1335	1622	404	695	120	2001
E05000103	1204	1786	907	792	169	2001
E05000104	942	1380	522	632	151	2001
E05000105	773	1171	1512	1568	160	2001
E05000106	2245	2471	410	372	86	2001
E05000107	1236	2234	157	110	41	2001
E05000108	2012	2550	929	334	90	2001
E05000109	1897	2889	743	913	151	2001
E05000110	2239	2719	271	235	79	2001
E05000111	2461	2543	458	410	124	2001
E05000112	1627	3462	872	783	141	2001
E05000113	2283	3002	778	1322	201	2001
E05000114	1733	2765	1467	388	110	2001
E05000115	1667	2701	2052	158	116	2001
E05000116	588	1952	1933	1069	135	2001
E05000117	826	784	77	111	102	2001
E05000118	2736	2523	481	205	97	2001
E05000119	2497	2846	224	257	101	2001
E05000120	2165	2755	573	338	130	2001
E05000121	946	1732	1374	210	92	2001
E05000122	2369	2397	1039	257	95	2001
E05000123	1216	2834	2213	944	180	2001
E05000124	2349	2603	152	202	64	2001
E05000125	1745	2808	1065	615	152	2001
E05000126	1673	1736	298	333	47	2001
E05000127	2439	2551	249	249	96	2001
E05000128	1198	1417	1364	1944	228	2001
E05000129	530	657	1378	1110	302	2001
E05000130	849	1112	1953	1238	219	2001
E05000131	578	1049	2052	858	181	2001
E05000132	763	1342	971	1532	160	2001
E05000133	1395	1237	554	1852	265	2001
E05000134	617	944	2403	696	155	2001
E05000135	1449	1142	644	1511	242	2001
E05000136	523	931	2608	798	192	2001
E05000137	988	1205	1907	587	157	2001
E05000138	414	764	2723	1087	271	2001
E05000139	647	1313	2036	1032	176	2001
E05000140	407	1013	2492	1138	173	2001
E05000141	309	582	2225	1021	257	2001
E05000142	459	657	2794	1077	305	2001
E05000143	267	653	3709	479	205	2001
E05000144	1176	1406	1149	1853	259	2001
E05000145	576	1398	1279	1676	159	2001
E09000001	1091	1059	942	907	345	2001
E05000146	1414	3475	1091	1331	162	2001
E05000147	1544	2271	1032	298	83	2001
E05000148	1369	3032	618	1051	207	2001
E05000149	980	2373	1690	984	144	2001
E05000150	1771	2273	594	164	85	2001
E05000151	1628	2484	245	283	57	2001
E05000152	1697	3060	579	1333	156	2001
E05000153	1575	2212	1145	2140	221	2001
E05000154	509	1050	2324	76	106	2001
E05000155	1678	2870	520	361	124	2001
E05000156	1702	2728	507	379	80	2001
E05000157	744	1411	1577	109	91	2001
E05000158	1632	2376	681	671	119	2001
E05000159	1741	2491	411	438	102	2001
E05000160	1924	2283	324	169	70	2001
E05000161	964	2655	1772	1173	174	2001
E05000162	1783	2356	118	133	79	2001
E05000163	1943	2449	995	196	115	2001
E05000164	1489	3008	1308	1213	172	2001
E05000165	1083	2997	1174	946	165	2001
E05000166	1344	2627	1272	650	165	2001
E05000167	1259	2509	1401	783	185	2001
E05000168	1351	2923	756	1095	158	2001
E05000169	1045	3443	1205	993	146	2001
E05000170	1174	1818	1359	1092	148	2001
E05000171	1387	2013	1318	858	153	2001
E05000172	992	1483	1232	434	120	2001
