New Code	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
E05000026	57375	65000	61100	64998	77500	80250	83000	120450	136750	154500	160000	169995	166496	180000	148000	146500	177000	141000	150000	173000
E05000027	52998	53775	56995	59250	62000	75000	89000	110000	138000	156000	159500	164000	183000	190000	150000	160000	160000	163000	174000	215000
E05000028	55500	59000	59250	59995	64500	75000	89973	114500	140000	157000	160000	165000	190000	190000	160000	181995	170000	173000	180000	210000
E05000029	65875	66000	74250	78750	90000	90000	108000	128000	160000	177000	179000	190000	215000	200000	185500	180000	195000	205000	205000	240500
E05000030	64000	66000	68000	79000	87000	102000	107000	128250	155000	175000	177500	182000	210000	210000	175000	187500	191750	197500	204000	240000
E05000031	56000	56000	58000	59995	65995	78000	88000	120250	140000	160000	166000	168000	185500	193000	155625	170000	167250	182000	189995	220000
E05000032	57000	59000	58000	59000	67748	77000	87000	113000	145000	172000	155000	165000	193998	189995	152500	148748	145000	158500	162000	200000
E05000033	54000	54995	54250	58000	62000	73750	85000	107000	136995	149000	155000	159998	180750	180000	150000	163000	155000	165000	172500	205000
E05000034	56250	57500	57500	63000	65750	75995	86500	114000	140500	160500	162500	165000	182500	197375	156000	160000	155000	163000	168500	215000
E05000035	76000	79500	89995	102000	109998	127998	138000	169000	216000	232500	235000	243000	275000	270000	250000	266750	250000	258500	270000	312750
E05000036	56000	53500	57500	58000	63000	73998	84500	110000	138995	155000	158250	161000	180000	186000	148000	167000	160000	168000	176000	212000
E05000037	54000	57450	55000	59748	62995	74748	84998	112498	138998	155000	157500	165000	183000	186750	154500	160000	157000	162000	178000	213000
E05000038	55000	52748	55000	56500	62500	75000	82000	106000	135000	153000	156000	162000	180000	185500	150000	158000	153500	163000	170000	205500
E05000039	57250	58250	60000	70000	65000	80000	95000	120000	140000	158000	162500	162000	179000	190000	180000	165500	167500	197000	185000	219000
E05000040	56300	54400	56000	59725	65000	76000	89995	110000	138250	155000	161000	165000	180000	185000	157500	166750	184000	167000	178995	215000
E05000041	55000	57000	64750	66625	76000	71950	73500	97998	119000	145000	156000	160000	156250	180000	155000	162000	156000	155000	182000	202500
E05000042	60000	60750	65995	71000	78000	92995	110000	128500	159000	174998	180000	191500	205000	225000	175000	195000	189000	196000	205000	235000
E05000043	89500	95250	113750	125000	140000	174000	194000	232475	250000	265000	280000	280000	330000	307000	310000	339500	343000	360000	380000	435000
E05000044	64000	64000	74950	81000	93000	114375	126500	150000	178000	193458	211000	209950	225000	234475	192250	219975	230000	234000	245000	250000
E05000045	98750	105000	137000	135000	152000	185000	152000	199500	250000	274750	250000	285000	290000	312500	361250	416500	387493	454500	465000	507500
E05000046	68000	70000	72000	76000	89100	103000	119950	153000	169500	180000	200000	193000	230000	244950	226000	220000	242250	250000	258500	302500
E05000047	88400	89995	101225	113995	135995	165000	160000	189225	223500	240000	240000	270000	276000	230000	250000	296000	290000	321500	335995	335000
E05000048	91000	94000	91000	85000	114475	126675	165000	188000	217500	235000	226500	250000	271125	299000	268310	304500	305000	329975	340000	368000
E05000049	86250	81000	99975	118250	124950	151475	176000	210000	212250	237000	250000	250000	290000	298000	296250	360500	337500	371000	370000	437500
E05000050	120000	132250	130000	138000	153250	188725	195475	249950	285000	296000	280000	312000	386750	337500	365000	289000	300000	295000	380000	455000
E05000051	121500	133000	137500	139500	175000	185250	225000	285000	269750	280000	282475	325000	375000	360000	377500	420000	385000	395000	498725	528000
E05000052	164000	165000	170000	202000	220000	247000	300000	325000	280725	390000	410000	450000	523750	495000	602500	633000	575000	716250	696999	825000
E05000053	112000	103500	140000	151500	175000	205000	224750	260000	310000	325000	305000	350000	391500	396500	400000	390000	429250	450000	477475	555250
E05000054	88225	89000	105000	126475	132500	157250	180000	200000	238000	249950	274250	278750	300000	290000	290000	328000	319975	350000	349975	397250
E05000055	80000	83500	96000	110000	132000	150000	171250	192600	230000	240000	249500	250000	250000	280500	290500	287250	325000	335000	340000	350000
E05000056	95000	99950	109250	113500	128000	159950	171250	210500	210000	234975	267500	288500	292500	307000	310000	292000	330000	354000	375000	419423
E05000057	110350	108995	121000	134950	155000	172000	195000	239950	278000	283975	295000	293500	339975	300000	284950	348500	370000	380000	425000	520000
E05000058	104950	82000	110000	111500	125000	155000	164250	170000	229950	235500	249975	273000	276500	279250	272500	285000	320000	366875	349500	366000
E05000059	125000	135000	150000	180000	185000	231500	249950	300000	271250	335000	360000	392000	429950	425000	427500	450000	482475	478750	540000	627750
E05000060	83000	88000	94500	112000	128000	145000	168500	185000	209975	235250	240250	260000	279475	271750	262500	292000	297000	308750	343000	389950
E05000061	78725	90500	98000	110000	135000	154000	170000	200000	227250	250000	250000	249725	279975	284250	290000	315000	292500	318500	350500	385000
E05000062	83125	84000	91500	99475	116000	128500	168000	176000	210000	232000	238750	245000	276000	247500	245000	286000	310000	273000	252000	346250
E05000063	89000	93000	95000	95000	133500	145000	165500	196000	205500	246000	243000	247000	266000	249950	250000	285000	280000	320000	354500	370000
E05000064	76750	75500	78500	85000	89995	92000	120000	143750	168250	174000	186998	195500	215000	209500	180000	219995	223500	216923	240000	250000
E05000065	59995	60000	65000	65950	70000	76500	88000	117000	130000	145000	154995	160000	172000	170000	159200	170000	168500	150000	149000	179500
E05000066	73000	73000	83500	98580	104995	125000	137500	162000	186000	202000	212000	225000	243500	236500	218000	230000	235000	243500	250000	280000
E05000067	73750	74500	80000	88250	91650	117000	128000	150000	170000	200000	209000	207000	236000	222500	198000	227000	239000	250000	249999	275000
E05000068	84500	84000	90000	110000	118000	139995	147250	185000	205000	226000	235000	245000	250000	250000	230000	250000	250000	250000	265000	315000
E05000069	73450	75250	81500	88438	99000	115000	124750	157000	176250	194950	200000	220000	230000	225000	205000	225000	232750	228575	245000	275000
E05000070	65250	68000	73150	77000	81250	94000	105000	128500	147000	169995	169998	179000	192000	203250	184995	200000	200000	183500	210000	247000
E05000071	60000	61000	66750	71748	74000	87000	97000	135000	157700	155000	173000	168995	182250	177000	175000	175000	172650	172500	181000	231500
