New Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
E05000026,3963,3967,4054,4109,4033,4063,4188,4197,4511,4588,4696
E05000027,3892,3892,3892,3805,3773,3802,3842,3847,3847,4099,4104
E05000028,4072,4097,4121,4158,4228,4167,4175,4175,4184,4245,4364
E05000029,3976,4007,4003,4024,4020,4053,4065,4060,4068,4038,4042
E05000030,3979,4004,4008,3969,3963,3967,4049,4065,4076,4016,4028
E05000031,4206,4220,4240,4270,4261,4313,4315,4448,4322,4337,4345
E05000032,4067,4069,4071,4164,4364,4375,4395,4522,4709,4705,4706
E05000033,3951,3952,3958,4043,4058,4067,4128,4234,4306,4316,4317
E05000034,4037,4037,4038,4127,4290,4209,4374,4375,4375,4320,4407
E05000035,3649,3688,3753,3735,3757,3781,3781,3784,3790,3813,3814
E05000036,3788,3791,3806,3803,3932,3925,3925,3928,3933,4000,4029
E05000037,3750,3750,3750,3934,3835,3954,3955,3957,3959,3721,3723
E05000038,3896,3891,3884,3917,3971,3947,3989,3977,3990,3991,4003
E05000039,3854,3970,4121,4144,4179,4179,4181,3976,4012,3929,3931
E05000040,4019,4038,4057,3933,3839,3923,3924,3927,3936,4035,4036
E05000041,4300,4328,4336,4334,4340,4438,4463,4424,4438,4522,4606
E05000042,3917,3918,3872,3885,3952,3951,3978,3983,3992,4061,4074
E05000043,5728,5763,5771,5798,5810,5901,6020,6047,6050,6097,6081
E05000044,5839,5844,5808,5789,6027,6163,6141,6240,6403,6456,6534
E05000045,6852,7116,7246,7271,7298,7355,7375,7426,7506,7524,7688
E05000046,5532,5556,5680,5697,5743,5716,5705,5798,6225,6485,6470
E05000047,6399,6497,6553,6666,6681,6790,6884,6906,6923,6940,6961
E05000048,6403,6436,6436,6491,6541,6575,6540,6598,6661,6665,6674
E05000049,6472,6511,6531,6562,6597,6611,6639,6683,6695,6692,6710
E05000050,5649,5678,5698,5748,5811,5855,5851,5860,5953,5976,6087
E05000051,5945,6008,6008,6011,6048,6153,6199,6237,6305,6324,6332
E05000052,6381,6383,6393,6487,6487,6455,6410,6449,6490,6486,6508
E05000053,5922,5926,5951,5940,5929,5955,5972,6003,6019,6074,6171
E05000054,6066,6116,6118,6092,6114,6134,6139,6155,6216,6266,6274
E05000055,6738,6769,6817,6862,6931,6962,6990,7043,7077,7086,7119
E05000056,6240,6297,6331,6316,6328,6408,6438,6551,6574,6588,6657
E05000057,6353,6378,6434,6775,6703,6823,6913,6933,7001,7035,7120
E05000058,6118,6125,6130,6190,6258,6291,6320,6366,6424,6402,6407
E05000059,5979,5986,6027,6041,6073,6065,6077,6078,6083,6127,6135
E05000060,6213,6245,6269,6323,6353,6378,6374,6372,6425,6441,6436
E05000061,6209,6224,6237,6327,6491,6524,6553,6613,6667,6689,6703
E05000062,6009,6034,6067,6112,6118,6164,6181,6200,6275,6316,6336
E05000063,6452,6456,6472,6470,6703,6774,6795,6811,6827,6827,6844
E05000064,4306,4320,4324,4322,4324,4322,4321,4319,4321,4341,4338
E05000065,4866,4870,4919,4903,4901,4928,4931,4935,4938,5014,5031
E05000066,4167,4168,4172,4196,4192,4189,4191,4215,4216,4231,4231
